"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","Lesser Charge Plea","has_prior"
3343465,3351528,1,"186.22(b)(1)","PC","Enhancement",2023-09-01,"True","White","Male",2021-12-15,NA,"Arraignment Letter",NA,2021-12-15,"N","29800(a)(1)","PC","Felony",2023-09-01,"Guilty",NA,1
3356721,3365832,1,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",2022-02-20,NA,"Walk Thru Warrant",NA,2022-02-20,"Y","211/212.5(a)","PC","Felony",2023-06-08,"Guilty",NA,0
3356721,3365832,2,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",2022-02-20,NA,"Walk Thru Warrant",NA,2022-02-20,"N","245(a)(4)","PC","Felony",2023-06-08,"Reduced","245(a)(4) PC MISD",0
3356721,3365833,1,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",2022-02-20,NA,"Walk Thru Warrant",NA,2022-02-20,"Y","211/212.5(a)","PC","Felony",2023-06-08,"Guilty",NA,0
3356721,3365833,2,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",2022-02-20,NA,"Walk Thru Warrant",NA,2022-02-20,"N","245(a)(4)","PC","Felony",2023-06-08,"Reduced","245(a)(4) PC MISD",0
3356721,3438369,1,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2022-02-20,"Y","211/212.5(a)","PC","Felony",2023-06-08,"Guilty",NA,0
3356721,3438369,2,"186.22(b)(1)","PC","Enhancement",2023-06-08,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2022-02-20,"N","245(a)(4)","PC","Felony",2023-06-08,"Reduced","245(a)(4) PC MISD",0
3426848,3442198,1,"186.22(b)(1)","PC","Enhancement",2024-07-22,"True","Hispanic","Male",2023-01-04,1e+05,"In Custody",NA,2023-01-04,"N","30305(a)(1)","PC","Felony",2024-07-22,"Guilty",NA,1
3426848,3442198,2,"186.22(b)(1)","PC","Enhancement",2024-07-22,"True","Hispanic","Male",2023-01-04,1e+05,"In Custody",NA,2023-01-04,"N","29800(a)(1)","PC","Felony",2024-07-22,"Guilty",NA,1
3426872,3442225,1,"186.22(b)(1)","PC","Enhancement",2024-01-04,"Dismissed/Not True","Hispanic","Male",2023-01-04,NA,"In Custody",NA,2023-01-04,"N","33215","PC","Felony",2024-01-04,"Reduced","33215 PC MISD",1
3426872,3442225,2,"186.22(b)(1)","PC","Enhancement",2024-01-04,"Dismissed/Not True","Hispanic","Male",2023-01-04,NA,"In Custody",NA,2023-01-04,"N","29800(a)(1)","PC","Felony",2024-01-04,"Guilty",NA,1
3426872,3442225,3,"186.22(b)(1)","PC","Enhancement",2024-01-04,"Dismissed/Not True","Hispanic","Male",2023-01-04,NA,"In Custody",NA,2023-01-04,"N","30305(a)(1)","PC","Felony",2024-01-04,"Reduced","30305(a)(1) PC MISD",1
